scenario,iteration,replication_id,coverage,density,n_agents,is_selected
NI,0,0,1.0,0.18175081230742882,10000,True
NI,1,0,0.9955336545247289,0.20292825517377663,9955,False
NI,2,0,0.9925580170064213,0.21500275728293267,9925,False
NI,3,0,0.9892677894418933,0.17367839032165436,9892,False
NI,4,0,0.9867810209022931,0.18437914368458236,9867,False
NI,5,0,0.9821828410023925,0.29392045752049323,9821,False
NI,6,0,0.9780672118830717,0.2419974911477729,9780,False
NI,7,0,0.9746263552998709,0.18844832413698928,9746,False
NI,8,0,0.9716267542432935,0.25732076399666487,9716,False
NI,9,0,0.9673458334552172,0.212797017048217,9673,False
NI,10,0,0.9639142982935326,0.23225409337329928,9639,False
NI,11,0,0.96119907351172,0.23339450726957278,9611,False
NI,12,0,0.9567403623770128,0.14485628304181342,9567,False
NI,13,0,0.9534854575395374,0.1386294754487064,9534,False
NI,14,0,0.9502570470552422,0.27066068809967714,9502,False
NI,0,1,0.999606376929019,0.22615488504694903,9996,True
NI,1,1,0.9960323312929993,0.26281514695852937,9960,False
NI,2,1,0.9933630309798427,0.19600177386003528,9933,False
NI,3,1,0.9896682787020624,0.24186323251909125,9896,False
NI,4,1,0.9851181753646623,0.22474742808328316,9851,False
NI,5,1,0.9818317745795155,0.20620373778409698,9818,False
NI,6,1,0.9783993340977358,0.20144239283869714,9783,False
NI,7,1,0.9754601993251575,0.14282483060085152,9754,False
NI,8,1,0.9705540331038074,0.17761929893188722,9705,False
NI,9,1,0.9684098656321337,0.15507708926253885,9684,False
NI,10,1,0.964027856485594,0.25835101691249185,9640,False
NI,11,1,0.9614065773185199,0.23462924417412978,9614,False
NI,12,1,0.9573468897141748,0.2500532343229831,9573,False
NI,13,1,0.9533637655678632,0.23463068018830785,9533,False
NI,14,1,0.9496012951011678,0.28091813908222873,9496,False
NI,0,2,1.0,0.23292497397418166,10000,True
NI,1,2,0.9962575413210796,0.23467432867462376,9962,False
NI,2,2,0.9928478889770375,0.17219145361833568,9928,False
